"Year","zeroRing","raw_growth","BAI","spline_growth","fss_growth","Site","Species","Neighborhood","ID","label","siteno","Region","hilo","tree.uniqueID","hegyi","DBH","prev3","next3","Name","Longitude","Latitude","Date","Month","hydroyear","total_ppt_mm","mean_temp_C","spei1","spei6","spei12","spi12","spei_prev3","spei_next3","cutoff","droughtyear","reduction","resistance","recovery","resilience","rel_res","drought_fx3"
1959,"no",0.125,3.94858926648067,0.424883501906483,0.801990361858051,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,5.86221189159857,3.46195656443959,"sp2",-116.7395554,33.806522,"1959-09",9,1959,345,12.3833333333333,0.215024924573167,-1.42196186695039,-1.71746196768069,-1.62616151075096,0.00302171359443674,-0.948850308272388,-1.12835294054579,"yes","yes",0.673566452304393,0.87675783192441,0.590554662379416,-0.0830117899249769,0.484634510193936
1961,"no",0.065,2.1594522502612,0.206160959717341,0.424085135997216,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,4.3871556009218,6.26080145952272,"sp2",-116.7395554,33.806522,"1961-09",9,1961,264,11.6833333333333,-0.0694806808342232,-1.2310783043141,-1.89488940050593,-2.15789422510188,-0.398290079029113,-0.296827863548351,-1.12835294054579,"yes","yes",0.492221486242128,2.8992544098928,1.42707531463147,0.934853828389347,1.03160574649944
1981,"no",1.115,111.303878823114,1.54592230248692,1.29923094849685,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,72.6461885216105,78.8916747169468,"sp2",-116.7395554,33.806522,"1981-09",9,1981,391,12.725,0.279618665360066,-1.54046989475559,-1.61475745886298,-1.34176488172819,1.51366640565624,0.835398926321703,-1.12835294054579,"yes","no",1.53213652482269,0.708795376685144,1.08597128524476,-0.446165239577924,-0.347316649790247
2000,"no",0.89,175.422135546739,0.995876299458659,0.98376081421416,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,185.175131399992,133.56310997135,"sp2",-116.7395554,33.806522,"2000-09",9,2000,418,12.5583333333333,0.706614725935,-0.580523114505251,-1.44307758618798,-1.17944354923992,0.332734067533459,-1.22499735818472,-1.12835294054579,"yes","yes",0.947330962967237,0.76138116523934,0.721279952451301,-0.226051010515936,0.0555972929120705
2001,"no",0.865,175.263720737181,0.960217838718125,0.952640409128844,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,187.756892242712,141.804895038471,"sp2",-116.7395554,33.806522,"2001-09",9,2001,428,11.5,-0.550403066370389,-1.48134017038228,-1.1814329475062,-1.12015102350353,-0.201366454066063,-1.30826931765147,-1.12835294054579,"yes","yes",0.933460916633721,0.809094400381446,0.755258000623276,-0.178202916010445,0.071282131025083
2002,"no",0.46,95.1186290912696,0.506727973291736,0.5074079499822,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,178.422356530917,292.832877789351,"sp2",-116.7395554,33.806522,"2002-09",9,2002,229,12.325,-0.849678836405076,-2.01509083021053,-2.31820081537228,-2.40589869486372,-1.1996551495658,-0.0278115424703326,-1.12835294054579,"yes","yes",0.533109364435434,3.07860700461071,1.64123422357449,1.10812485913906,0.875787721453751
2004,"no",0.93,199.989075938544,1.00997713993038,1.02093860117902,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,133.56310997135,324.436357406667,"sp2",-116.7395554,33.806522,"2004-09",9,2004,410,12.225,0.830267285068698,-1.02303781785049,-1.43124882590646,-1.22719854344586,-1.22499735818472,-0.409628404971173,-1.12835294054579,"yes","no",1.49733767041995,1.62227039594085,2.42908657544933,0.931748905029375,-0.332147971860258
2007,"no",0.51,123.834985059936,0.544971111414096,0.553975483178186,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,349.821054366204,193.356676427981,"sp2",-116.7395554,33.806522,"2007-09",9,2007,217,11.8916666666667,0.0786710337485681,-1.75543670288847,-2.26713257908375,-2.49457904573518,-0.13100048724541,-0.449100107627004,-1.12835294054579,"yes","yes",0.353995231317043,1.56140590104159,0.552730243119013,0.19873501180197,1.82489681083977
2014,"no",0.845,235.400715630728,0.876962276149103,0.872207127602717,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,NA,NA,"sp2",-116.7395554,33.806522,"2014-09",9,2014,415,12.4,0.836963691737709,-0.24264527977786,-1.34914456505738,-1.19731825297741,-0.332495267298588,-0.550807092509066,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
2015,"no",1.145,326.133210138689,1.18320774232552,1.16703930317915,"sp","AC",2,1,"12AC2_1A",12,"San Jac","low","12ac2_1",32.0653420173296,9.6,NA,NA,"sp2",-116.7396,33.8065,"2015-09",9,2015,462.294,12.9166666666667,0.866817698524489,0.834475191362595,-1.26380987655436,-0.920251132739289,-1.10419154403165,-0.879071658418698,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
